BodyFat,Sex,Age,Weight,Height,Neck,Chest,Abdomen,Hip,Thigh,Knee,Ankle,Biceps,Forearm,Wrist
11.98,1,23,72.9,1.81,36.47,92.95,82.2,96.23,57.03,36.72,22.38,32.68,28.46,17.55
23.3,1,37,81.71,1.76,36.09,104.25,92.25,100.49,59.37,38.18,22.59,32.13,28.57,17.93
31.68,0,40,110.05,1.86,41.66,115.81,113.91,115.23,70.36,42.6,26.12,36.84,31.35,19.52
20.9,1,35,73.82,1.68,36.4,99.1,92.8,99.2,63.1,38.7,21.7,31.1,26.4,16.9
11.2,0,24,59.28,1.67,34.39,89.81,70.25,90.14,49.65,35.4,21.38,27.43,26.1,16.83
15.01,0,20,55.84,1.66,30.4,82.07,66.68,96.09,45.79,35.84,20.7,25.34,23.15,15.69
27.0,1,72,76.2,1.76,38.5,101.4,99.8,96.2,56.3,36.6,22.0,29.7,26.3,18.0
29.47,0,20,57.61,1.61,32.3,85.0,68.0,94.5,51.5,39.0,20.5,26.0,23.5,16.0
22.01,0,28,62.4,1.72,32.95,89.31,72.6,93.84,52.15,37.39,22.4,25.97,24.87,16.7
19.21,0,18,58.26,1.66,31.57,84.83,69.78,97.11,52.28,35.67,22.56,26.07,23.61,16.18
27.44,0,20,64.95,1.73,32.02,84.62,72.13,98.68,53.02,37.44,20.31,31.43,24.47,16.47
20.83,0,21,74.46,1.8,33.17,90.43,76.37,104.59,56.54,38.13,24.67,28.08,26.53,17.54
16.55,0,30,62.32,1.73,34.63,90.34,77.27,92.81,50.34,34.65,20.84,27.54,25.19,16.09
26.86,0,21,69.84,1.78,33.01,92.0,77.0,104.27,49.0,37.0,21.0,28.0,24.51,16.0
17.79,1,63,81.33,1.83,38.15,101.06,93.06,100.59,55.44,39.37,23.7,31.29,28.37,19.27
23.78,0,18,60.25,1.64,32.07,87.1,67.14,94.71,48.87,35.83,21.17,25.5,23.67,15.76
17.93,0,58,58.86,1.66,34.35,91.9,78.03,89.17,51.33,34.22,20.67,28.21,24.76,16.46
29.11,1,63,93.18,1.78,40.5,111.27,104.78,107.72,62.44,42.81,22.36,36.26,31.71,18.53
21.55,0,20,59.42,1.64,31.0,85.0,68.0,95.8,53.0,38.0,23.0,27.5,25.0,16.0
14.21,0,36,68.94,1.72,35.93,96.12,79.4,96.16,58.53,37.5,22.05,33.17,27.02,17.13
28.27,0,24,84.67,1.74,38.44,103.82,92.83,102.95,64.49,39.21,23.6,31.61,27.93,17.71
23.51,0,18,58.82,1.63,30.83,86.27,71.23,94.43,49.75,34.95,21.16,25.67,23.88,15.85
12.87,1,39,73.31,1.77,35.7,93.49,87.5,96.45,58.37,39.35,22.82,30.44,27.0,17.4
14.97,0,21,49.03,1.63,30.77,81.63,64.63,89.59,43.49,32.37,19.27,24.32,22.0,14.84
20.82,1,40,81.85,1.74,37.53,102.13,91.76,101.26,63.35,38.32,23.76,35.07,30.27,17.93
18.75,0,21,64.86,1.78,30.0,90.1,66.0,94.5,55.0,35.5,21.0,29.5,24.0,15.0
20.34,0,32,76.66,1.79,37.08,97.38,85.79,98.31,57.16,37.07,22.24,30.11,27.6,17.22
22.25,1,43,79.62,1.75,37.61,99.67,93.9,99.14,59.97,38.36,23.77,32.04,29.0,18.53
22.83,0,18,61.69,1.74,30.35,84.07,66.57,102.41,52.46,37.29,21.6,25.54,23.49,16.43
18.07,0,21,60.9,1.67,31.65,84.83,70.21,96.95,52.35,36.87,21.78,28.25,25.08,15.8
19.31,0,20,59.33,1.78,32.15,83.69,66.7,95.49,48.89,34.96,21.15,25.69,25.81,15.26
27.98,0,18,65.53,1.61,32.15,89.27,74.95,102.19,54.47,38.62,23.47,27.45,24.05,16.56
27.06,0,41,81.3,1.78,36.69,106.22,102.36,102.57,62.74,39.66,23.4,33.0,27.52,17.26
19.17,0,24,60.82,1.68,33.39,86.11,71.79,94.79,53.66,34.51,21.01,28.17,25.41,16.78
22.61,0,39,77.46,1.79,36.25,94.52,89.85,99.23,60.16,38.42,22.96,31.14,28.32,17.09
24.59,1,39,93.01,1.8,38.75,106.83,101.51,106.79,64.26,40.38,22.85,35.18,30.34,19.0
20.89,0,21,57.0,1.62,32.96,85.24,66.08,95.86,52.28,34.53,20.97,26.93,24.24,16.27
25.63,0,27,63.9,1.65,31.34,88.09,71.5,93.56,53.11,37.36,20.24,26.26,24.39,15.98
14.74,0,18,57.05,1.63,31.14,85.28,67.64,95.47,52.83,34.78,20.49,26.64,23.63,15.78
4.1,1,25,86.64,1.88,38.1,100.9,82.5,99.9,62.9,38.3,23.8,35.9,31.1,18.2
29.95,0,36,85.69,1.74,37.66,108.66,97.07,102.76,58.68,37.79,21.18,31.87,28.22,16.68
26.05,0,22,54.82,1.61,30.22,79.45,66.59,95.38,50.83,34.86,20.72,27.37,22.86,15.85
25.75,1,60,89.17,1.76,40.07,114.92,103.49,101.75,58.64,38.75,24.25,32.01,29.08,18.52
11.18,1,39,80.93,1.76,39.35,100.26,89.64,99.08,58.44,37.72,23.75,32.68,29.11,18.33
19.27,0,35,74.23,1.84,36.69,96.99,87.62,95.98,54.36,38.53,21.94,29.92,27.89,17.27
38.66,0,40,89.62,1.67,38.67,110.03,105.2,109.36,61.09,37.11,23.21,32.52,27.48,17.91
35.66,0,23,76.66,1.63,35.0,91.0,84.5,109.8,59.5,36.7,22.2,28.8,25.2,16.1
28.16,1,58,96.11,1.81,41.02,113.09,105.84,102.91,61.51,40.96,23.61,35.54,31.55,19.6
23.28,0,38,73.82,1.72,37.16,98.2,89.83,98.17,56.24,35.23,21.28,28.63,25.82,17.05
20.56,1,72,72.85,1.78,37.51,96.52,93.67,97.99,53.97,37.26,21.62,31.09,26.7,18.1
21.15,0,32,71.63,1.73,34.83,93.42,80.38,100.02,57.12,37.56,23.56,29.95,27.05,17.38
21.81,0,27,62.47,1.65,32.59,89.56,76.66,93.26,50.77,35.1,21.29,28.2,24.44,16.49
20.09,0,25,66.19,1.72,34.41,90.1,76.98,97.7,56.15,36.32,20.96,29.21,25.5,16.55
21.86,0,18,63.94,1.64,33.0,88.56,76.1,97.3,52.41,37.34,21.91,28.26,25.05,16.64
16.56,0,23,54.38,1.61,29.64,80.49,62.62,94.54,46.41,32.76,19.24,24.17,21.61,15.0
15.62,0,25,59.92,1.63,31.64,83.26,70.58,96.65,54.29,35.95,21.02,25.98,23.11,14.67
20.15,1,59,85.34,1.81,39.75,107.91,99.21,101.76,60.28,39.95,24.2,33.21,30.24,19.16
21.35,0,18,56.89,1.64,31.0,81.26,67.74,94.69,51.13,35.95,20.66,26.14,23.0,15.41
11.89,1,51,79.01,1.8,38.33,98.49,91.08,96.72,57.12,37.82,22.62,32.65,28.67,18.45
19.68,0,32,70.15,1.72,34.37,93.1,82.14,97.74,56.8,37.87,21.76,28.92,26.41,16.71
20.08,0,20,61.35,1.64,32.62,88.18,71.29,95.69,52.61,37.19,21.81,27.06,24.66,16.12
21.18,0,34,81.68,1.75,35.01,93.33,83.58,100.95,55.16,38.39,23.22,29.85,26.87,17.46
21.59,1,33,69.41,1.74,38.22,96.04,88.95,96.28,58.71,36.5,21.33,29.6,26.9,16.97
13.99,0,21,57.61,1.79,30.0,84.0,65.0,93.0,50.0,33.5,21.5,23.3,21.3,14.5
31.17,0,41,89.72,0.84,36.06,103.37,100.8,113.68,68.77,41.79,23.52,32.57,28.1,17.19
17.89,1,45,77.03,1.82,36.02,94.8,89.89,98.49,59.74,38.34,22.73,29.21,27.17,17.24
20.36,0,21,57.23,1.64,30.91,83.33,69.36,96.58,51.69,35.65,23.74,26.11,23.83,16.22
20.53,0,30,68.66,1.69,34.37,94.61,78.56,95.89,56.7,37.2,22.51,30.98,26.59,17.62
14.31,1,45,78.66,1.78,37.25,98.56,92.15,99.12,57.48,38.68,23.89,32.09,29.05,18.85
22.49,0,26,65.1,1.81,33.44,85.79,73.17,99.26,51.32,36.42,21.71,26.29,27.62,15.9
22.29,0,19,50.35,1.6,29.5,82.4,64.5,90.0,48.1,34.5,20.0,26.3,22.1,15.0
19.73,0,38,73.19,1.72,31.08,92.32,85.22,96.67,53.99,38.44,24.24,30.07,28.59,18.38
23.6,1,47,89.36,1.86,37.8,103.6,99.8,103.2,61.2,38.1,22.6,33.5,28.6,17.9
12.11,1,28,74.09,1.86,36.24,94.38,81.55,94.44,55.87,37.04,22.6,30.5,27.77,18.03
24.59,1,68,84.86,1.79,38.66,106.66,99.29,97.27,55.84,41.09,22.61,30.41,29.2,19.62
20.01,0,36,85.9,1.75,37.26,103.03,90.39,104.66,61.47,41.14,24.16,33.81,29.04,17.69
23.97,0,33,74.96,1.78,34.43,94.35,81.71,103.91,57.67,38.27,22.24,30.13,26.63,17.73
20.3,1,35,101.95,1.84,43.9,108.2,100.4,106.8,63.3,41.7,24.6,37.2,33.1,19.8
26.75,0,28,74.64,1.69,33.45,95.18,84.51,105.74,57.61,39.97,23.01,30.26,25.95,16.47
14.56,1,55,70.07,1.81,36.97,95.5,86.74,92.1,54.33,35.55,21.53,32.63,27.27,18.64
21.56,1,51,86.62,1.82,39.27,105.73,97.64,98.37,56.97,37.7,22.02,34.83,29.51,18.62
24.19,0,46,83.03,1.84,36.09,99.25,89.64,105.54,61.02,41.41,23.17,31.59,28.44,17.65
26.05,1,61,97.81,1.86,41.36,112.17,104.68,103.07,61.6,40.88,23.09,36.18,31.77,20.18
23.15,0,20,61.69,1.8,32.5,83.0,69.2,99.2,50.1,36.0,21.5,25.0,27.3,15.4
26.47,1,41,82.82,1.76,39.01,100.31,93.14,99.72,61.49,37.72,22.57,34.26,30.45,17.39
15.6,1,44,82.61,1.77,38.7,103.31,91.21,100.37,61.42,39.68,23.99,32.01,28.84,18.77
30.28,0,20,74.79,1.75,32.75,91.37,78.78,108.23,57.43,41.07,23.16,28.55,24.2,15.26
21.71,0,18,62.16,1.72,31.04,86.57,68.81,99.09,51.9,37.5,22.1,26.31,23.3,15.5
1.49,1,41,57.86,1.75,34.42,82.2,71.95,86.92,48.44,34.25,20.46,28.14,25.13,16.83
21.45,0,26,68.4,1.66,34.85,93.57,80.27,97.21,55.39,37.47,22.71,29.65,26.61,17.27
17.4,0,26,63.63,1.7,33.01,88.91,76.8,94.93,50.74,35.85,21.62,27.56,24.98,16.45
15.26,1,50,77.56,1.75,37.53,100.93,90.92,97.72,57.17,38.32,22.36,33.18,29.1,18.58
21.23,0,19,49.45,1.67,29.36,77.73,60.28,90.58,46.19,35.55,20.09,23.78,21.59,13.77
32.64,1,44,93.03,0.81,36.82,105.91,104.03,114.9,69.96,42.33,23.75,33.62,28.83,17.51
20.73,0,21,58.1,1.7,31.9,85.01,66.85,95.21,50.33,33.43,20.19,26.83,23.91,15.48
21.95,0,33,86.56,1.83,37.41,103.29,91.05,103.73,62.14,39.12,23.38,32.59,27.97,17.94
25.73,0,20,65.65,1.66,32.21,85.94,72.3,99.32,51.0,36.04,22.13,27.38,23.47,15.5
17.0,1,65,57.83,1.67,34.7,93.0,79.7,87.6,50.7,33.4,20.1,28.5,24.8,16.5
21.53,0,20,54.3,1.63,29.19,82.15,68.17,96.52,48.79,35.34,21.27,24.57,22.26,14.96
27.58,1,35,97.58,1.83,39.18,110.57,105.43,108.15,64.79,41.27,23.46,33.62,30.75,18.54
17.7,1,32,67.47,1.78,35.5,86.7,80.0,93.4,54.9,36.2,22.1,29.8,26.7,17.1
10.64,0,36,60.68,1.7,33.1,85.59,70.26,92.5,52.18,34.97,21.4,26.87,25.51,16.69
19.4,0,21,51.74,1.68,30.16,79.52,61.52,91.66,48.02,36.01,20.51,24.36,22.01,14.61
15.08,0,38,71.44,1.75,36.23,97.81,81.76,97.35,59.28,38.44,22.4,33.48,27.41,17.4
17.35,0,22,45.82,1.6,28.78,75.59,60.69,88.42,49.05,33.24,19.83,23.7,20.83,14.33
14.76,0,21,55.81,1.71,31.25,85.35,64.52,92.55,49.25,34.5,21.76,25.16,22.91,15.01
26.18,1,56,81.11,1.71,37.01,104.26,99.74,99.99,61.11,40.37,22.87,33.42,28.83,18.66
20.38,0,22,58.51,1.65,31.0,83.0,70.3,97.3,53.0,36.5,24.5,26.0,24.2,16.7
26.9,0,69,75.96,1.76,38.28,100.95,98.72,96.47,56.37,36.7,22.0,29.69,26.35,17.94
17.88,0,22,57.59,1.63,31.3,83.06,65.45,94.29,52.78,35.24,20.67,26.03,21.85,15.18
14.59,1,46,80.92,1.79,39.87,102.69,93.24,100.26,59.51,38.41,24.4,33.02,30.02,18.78
26.75,0,24,60.89,1.65,31.53,89.18,71.76,99.51,50.8,32.66,20.2,27.0,23.71,15.59
21.22,0,42,77.04,1.81,36.56,97.66,85.72,98.55,58.06,38.45,21.6,28.58,26.03,17.63
21.06,0,36,82.41,1.84,36.78,104.14,86.24,102.07,57.64,39.57,24.14,33.12,29.41,18.86
24.56,0,21,48.86,1.69,30.2,76.64,64.74,93.13,44.61,33.68,20.08,23.33,20.25,14.1
32.32,0,28,90.65,1.79,39.03,105.25,95.04,109.67,61.84,40.89,22.63,31.93,26.98,17.19
5.01,1,34,79.45,1.88,36.86,97.75,81.3,96.46,58.63,38.01,23.3,36.98,29.57,18.32
20.9,0,34,65.24,1.69,33.73,85.24,75.74,98.49,53.56,37.27,22.47,26.19,24.48,16.92
18.36,0,39,74.92,1.8,36.03,91.79,87.52,101.02,61.5,37.91,22.32,30.47,27.49,16.85
19.59,0,23,69.59,1.66,34.76,94.8,81.43,101.17,57.26,35.91,21.99,29.93,25.63,16.42
23.88,1,58,95.08,1.84,40.68,109.71,102.64,103.43,61.12,40.9,23.82,35.15,31.26,19.84
21.17,0,37,77.55,1.8,36.45,97.84,82.56,100.86,59.35,37.82,21.98,31.63,27.59,17.0
12.41,1,37,67.44,1.74,34.16,94.85,82.28,94.11,54.37,36.74,22.27,28.52,26.71,17.28
30.3,0,18,70.08,1.61,32.85,91.95,78.6,105.4,55.88,39.64,24.08,28.63,24.95,17.1
23.97,0,21,54.07,1.72,30.29,79.45,63.71,95.87,47.73,34.53,20.75,24.72,21.44,14.57
10.81,0,26,54.59,1.61,32.53,83.83,65.79,89.76,49.88,32.72,20.03,28.32,24.01,15.58
15.43,1,51,71.03,1.78,35.96,91.05,87.64,96.87,58.01,36.92,22.03,29.04,27.09,17.44
18.82,1,51,87.26,1.83,39.4,104.87,96.29,99.52,58.21,38.11,22.48,34.39,29.96,18.87
15.43,1,51,72.4,1.81,35.76,92.05,88.95,98.0,53.14,37.45,22.72,26.84,26.15,17.72
26.98,1,42,82.52,1.76,37.67,105.38,101.56,102.02,62.64,39.35,23.8,33.25,28.62,17.97
20.04,0,32,62.78,1.67,33.06,88.14,73.45,96.17,53.62,37.54,21.56,26.82,24.83,16.11
13.28,1,47,74.85,1.8,36.34,99.56,86.66,94.01,55.14,36.95,22.47,30.21,27.06,17.46
28.03,0,59,90.41,1.77,40.19,110.73,103.04,105.71,61.55,39.62,22.78,37.47,30.71,19.12
21.83,0,19,61.53,1.68,32.88,86.12,71.32,98.24,53.97,36.33,21.24,28.0,23.7,15.92
22.99,1,46,83.95,1.84,37.17,99.77,94.41,101.65,62.16,38.37,23.1,30.64,28.3,18.3
14.07,0,30,59.8,1.71,34.59,91.84,72.18,90.13,49.37,35.28,21.72,27.98,24.72,16.34
26.08,0,22,66.4,1.63,31.88,89.86,74.59,103.3,55.1,37.26,21.14,29.01,25.18,15.18
23.44,0,22,57.15,1.63,33.0,85.0,70.0,94.5,50.5,37.0,20.0,28.0,24.5,16.0
21.96,0,29,67.06,1.75,34.31,90.62,75.03,95.55,52.71,34.76,21.9,28.63,24.98,16.29
15.25,1,53,94.86,1.95,39.97,108.47,95.27,104.8,59.58,41.14,23.18,32.13,29.96,19.87
15.16,0,23,61.75,1.65,32.6,88.99,72.2,96.3,53.9,35.3,20.65,27.65,24.65,16.0
19.87,0,19,61.8,1.69,31.28,88.61,71.16,95.96,49.81,36.05,20.78,25.81,23.01,15.6
18.39,1,29,95.76,1.88,39.57,105.47,97.88,108.49,65.89,41.2,24.69,36.5,30.31,18.46
24.73,0,29,82.08,1.73,35.79,102.28,89.21,102.37,58.52,38.27,21.94,29.69,25.96,16.34
22.49,0,21,66.17,1.7,31.78,95.76,73.61,99.02,53.57,35.66,21.22,28.12,24.91,16.72
22.87,1,39,89.03,1.81,37.98,105.39,97.95,104.76,60.57,40.22,22.79,33.13,29.62,18.27
19.35,1,34,79.61,1.73,38.3,100.34,93.66,102.53,62.82,38.0,22.18,32.84,29.41,18.27
18.95,0,46,73.87,1.71,36.23,95.82,89.11,99.96,58.19,37.93,22.05,30.53,26.57,17.75
21.16,1,49,70.4,1.75,35.37,92.56,86.88,94.38,57.02,37.23,21.36,31.71,27.0,17.29
4.43,1,25,86.64,1.88,38.1,100.82,82.65,99.97,62.93,38.34,23.82,35.87,31.08,18.2
22.98,1,41,95.58,1.85,40.59,114.12,102.17,107.52,63.59,40.41,23.69,35.46,31.63,19.25
13.93,0,19,57.33,1.62,31.42,86.04,68.8,95.0,52.46,34.79,20.49,26.45,23.69,15.64
28.8,0,38,85.94,1.7,36.93,103.13,94.12,100.91,57.4,39.27,23.43,31.55,28.41,17.5
27.56,0,35,95.38,1.82,39.11,106.63,101.25,108.26,64.95,40.66,24.74,33.58,29.22,18.43
19.38,1,53,70.22,1.74,38.56,94.85,88.92,93.59,53.79,36.27,21.29,30.51,28.1,18.17
25.7,0,30,77.87,1.77,36.13,96.45,86.95,102.8,60.75,36.85,22.97,30.49,26.36,17.56
19.93,0,20,49.9,1.66,29.5,83.0,63.0,92.0,48.5,34.0,20.0,24.0,22.0,15.0
8.68,1,43,81.77,1.85,37.85,97.83,87.65,100.21,60.88,38.69,23.54,30.61,29.54,18.71
24.32,0,28,90.21,1.69,37.28,101.76,93.66,110.19,59.53,39.61,24.41,31.73,24.0,17.17
21.66,0,18,69.02,1.75,32.53,89.21,71.1,102.68,56.17,38.25,22.16,28.55,26.11,16.03
26.95,0,24,49.44,1.59,31.0,83.5,64.5,90.0,46.0,33.5,21.0,24.0,22.0,14.5
22.68,0,21,63.9,1.69,32.79,97.43,72.77,97.82,49.23,34.73,20.16,28.22,24.28,15.5
24.64,0,21,64.41,1.65,35.0,91.0,75.0,96.0,54.0,36.0,22.5,32.0,26.0,17.0
25.22,0,20,65.77,1.73,30.5,85.0,65.3,105.0,58.3,38.3,20.5,27.3,23.5,15.5
19.18,0,19,53.31,1.67,30.15,83.98,64.64,93.8,50.63,34.49,20.33,25.41,22.82,15.49
23.33,0,38,80.93,1.8,36.21,101.91,90.9,101.31,57.15,36.9,21.74,31.77,27.17,17.1
17.21,0,22,54.81,1.68,31.53,85.29,64.84,89.71,49.39,35.16,20.37,25.27,22.88,14.89
22.47,0,34,63.85,1.7,34.02,88.66,80.27,95.46,54.02,35.18,21.63,28.33,25.27,16.51
10.35,1,25,72.45,1.78,36.16,95.01,81.03,94.63,57.88,37.0,21.28,31.25,29.0,18.12
11.15,1,37,76.94,1.82,38.77,90.49,85.77,98.58,58.05,40.02,22.78,32.81,29.1,18.14
24.41,0,20,61.27,1.67,31.13,84.61,70.49,98.22,54.12,38.55,20.68,29.11,23.87,15.26
16.54,0,23,57.28,1.68,30.54,86.33,65.45,91.65,52.03,34.73,21.07,25.82,23.27,15.38
31.92,1,67,89.2,1.76,40.61,107.07,103.35,103.59,59.32,40.47,23.16,34.75,28.57,19.88
18.1,1,47,84.0,1.81,39.75,101.35,93.9,101.15,60.88,39.03,23.25,33.86,30.33,18.86
17.32,0,20,57.17,1.65,30.62,84.76,64.99,93.59,49.79,34.33,21.29,25.12,23.33,16.21
16.32,0,29,63.44,1.74,33.77,85.71,75.72,95.04,56.71,35.37,22.13,27.62,26.03,16.58
23.07,0,26,56.79,1.69,31.34,84.4,68.24,91.52,48.38,35.95,20.45,25.14,22.83,14.52
15.85,0,21,56.72,1.71,30.51,85.52,70.98,93.03,49.0,24.77,21.49,24.99,22.5,15.0
16.04,0,26,67.68,1.77,34.06,93.25,76.22,97.77,52.92,35.2,20.56,26.87,24.35,15.61
12.02,0,20,49.9,1.66,28.88,81.54,62.51,88.32,45.92,33.25,20.14,23.18,22.22,14.85
4.42,1,44,60.32,1.73,34.16,85.07,72.78,88.64,51.15,35.21,21.9,27.32,26.06,17.09
31.4,1,67,74.28,1.72,38.4,97.7,95.8,97.1,54.8,38.2,23.7,29.4,27.2,19.0
20.9,0,23,60.15,1.66,32.0,85.83,69.87,95.69,52.42,37.14,21.39,25.47,23.98,15.46
16.4,1,68,72.3,1.71,37.66,98.43,88.62,97.26,57.18,37.52,21.89,32.42,27.91,18.64
23.43,1,43,77.26,1.71,37.39,103.49,89.62,94.22,58.49,38.94,24.06,33.73,28.77,18.77
21.03,1,39,70.86,1.76,35.52,97.17,85.49,96.09,57.54,38.34,23.75,31.49,27.42,17.39
17.09,1,55,81.64,1.79,38.2,101.75,94.34,99.26,56.76,39.55,23.2,32.51,29.94,19.3
19.66,1,28,81.14,1.73,39.09,102.98,95.64,104.46,63.31,37.92,22.11,32.59,30.3,18.32
25.39,1,39,95.55,1.83,39.24,107.49,102.73,107.98,65.77,41.33,23.34,35.35,29.81,19.0
7.42,1,39,62.88,1.72,36.59,88.81,75.74,88.54,52.99,35.51,21.7,29.87,27.33,16.98
15.07,1,53,59.82,1.65,34.05,89.85,78.99,90.04,52.04,35.49,19.48,29.41,25.9,17.01
28.04,1,43,92.65,1.79,37.65,109.19,104.49,109.16,64.52,39.75,24.17,34.87,29.45,18.18
27.13,0,21,58.02,1.63,30.69,87.43,69.47,99.16,49.99,32.05,20.01,26.47,22.97,15.3
25.57,0,23,69.94,1.72,33.3,91.85,79.92,107.32,54.57,34.63,21.08,28.64,23.61,15.22
18.12,0,26,58.73,1.69,33.06,86.9,73.04,90.37,51.73,35.84,21.23,26.11,24.37,15.87
9.73,1,39,85.2,1.85,37.87,99.9,91.98,101.97,60.27,39.16,22.79,31.86,30.2,18.57
4.42,0,24,85.63,1.87,37.93,100.41,82.05,99.64,62.44,38.1,23.68,35.6,30.85,18.1
